#Data Point Listing of File C:\Documents and #Settings\NMR\Desktop\FPraktikum\2021\17122021\mess_1_45.6mhz.tnt
#Starting Point:	1	Ending Point:	1024
#Real	Imag	kHz
-2321.313	488.189	-192.871
-6435.941	-13286.500	-195.313
-13737.254	11071.287	-197.754
-9324.596	-9390.504	-200.195
28995.658	4448.541	-202.637
13501.514	-13734.906	-205.078
-4304.843	-26367.324	-207.520
-1080.527	-8366.400	-209.961
-7230.453	-56731.941	-212.402
8902.299	-5878.348	-214.844
-24649.920	10988.516	-217.285
-28885.160	-22185.789	-219.727
-25473.547	-27241.570	-222.168
-23842.510	-11368.942	-224.609
-16163.109	14630.305	-227.051
-11664.975	32619.736	-229.492
-20621.195	-1869.088	-231.934
3627.959	-10552.703	-234.375
-29581.844	-30200.816	-236.816
365.237	11109.841	-239.258
-9048.849	1760.083	-241.699
-12931.800	21383.020	-244.141
-2676.392	-5574.830	-246.582
-40283.992	-45344.199	-249.023
-20260.338	-1835.288	-251.465
14139.078	6771.544	-253.906
-10907.786	-2992.310	-256.348
-14475.499	-6490.104	-258.789
-12885.641	-10589.145	-261.230
29518.332	-18532.926	-263.672
-2335.791	-5956.747	-266.113
-15105.097	-14634.201	-268.555
-30736.797	-9445.097	-270.996
-17883.115	-4176.916	-273.438
-4280.558	-7142.027	-275.879
2839.937	8299.482	-278.320
-23607.355	1848.862	-280.762
-8536.778	-7230.255	-283.203
-35159.145	-24130.828	-285.645
-8189.339	-4512.233	-288.086
-23855.883	-14867.132	-290.527
-2800.032	660.019	-292.969
16697.922	2758.533	-295.410
-29889.672	-1024.182	-297.852
-21625.066	-9680.873	-300.293
-7300.693	-999.475	-302.734
-10915.072	-6999.119	-305.176
11377.346	-5797.363	-307.617
-7312.745	-24811.188	-310.059
-8107.472	-14394.046	-312.500
-11222.309	-11928.990	-314.941
-32115.949	-187.079	-317.383
-8596.914	14495.008	-319.824
-17571.211	8840.973	-322.266
-5752.192	-14508.660	-324.707
2946.313	-3881.809	-327.148
10000.215	-41642.500	-329.590
-23890.742	10146.990	-332.031
44.055	-6028.942	-334.473
16251.032	16652.367	-336.914
-2371.713	863.164	-339.355
-15024.895	1488.793	-341.797
10455.247	12510.826	-344.238
-10662.777	19660.178	-346.680
-10602.943	13608.956	-349.121
-11489.148	-16875.727	-351.563
-6280.682	-15202.123	-354.004
4276.629	-2112.982	-356.445
-38273.254	25628.324	-358.887
5143.317	3637.133	-361.328
7123.114	15495.658	-363.770
14451.000	5239.179	-366.211
-9122.647	6811.669	-368.652
5645.562	1362.417	-371.094
-17052.082	21142.994	-373.535
-26877.953	10193.736	-375.977
-26364.691	-7074.616	-378.418
-26471.930	-4681.985	-380.859
-14329.353	30187.980	-383.301
-8484.280	-35269.281	-385.742
2956.717	17335.467	-388.184
-5822.097	-2141.477	-390.625
-1152.303	12418.977	-393.066
-3079.840	17281.609	-395.508
7774.732	20320.563	-397.949
-16204.510	14334.193	-400.391
-5606.558	-14465.065	-402.832
6271.979	258.127	-405.273
-8773.967	-3022.092	-407.715
-14684.404	-1229.272	-410.156
-10934.241	-18534.938	-412.598
17142.283	6180.047	-415.039
-18670.699	5074.226	-417.480
8567.449	9313.809	-419.922
-14507.367	-8724.410	-422.363
5411.724	-9894.301	-424.805
-34928.305	17664.262	-427.246
7165.374	4769.978	-429.688
-13210.010	5128.349	-432.129
3223.340	-13233.729	-434.570
-7997.530	-14452.762	-437.012
-3650.354	-19821.152	-439.453
-44910.555	-14956.738	-441.895
6831.090	-1619.183	-444.336
4392.286	8944.499	-446.777
23682.561	23970.135	-449.219
-7613.154	-10123.423	-451.660
9503.366	14232.524	-454.102
10253.068	17353.467	-456.543
4651.410	1426.156	-458.984
-6848.938	-16682.793	-461.426
16771.979	-3597.270	-463.867
5774.859	10912.872	-466.309
40879.980	-1344.780	-468.750
4547.591	-7269.146	-471.191
628.146	24523.973	-473.633
6353.109	-21042.395	-476.074
